CARDHLDR,DEFAULT,AADLINC,BANKSAV,BANKCH,BANKBOTH,AGE,ACADMOS,ACBINQ,CREDMAJR,CREDDEPT,CREDGAS,ACURTRD,ADEPCNT,AEMPMOS,PROF,UNEMP,MGT,MILITARY,CLERICAL,SALES,OTHERJOB,MAJORDRG,MINORDRG,OWNRENT,APADMOS,AMAMIND,INCOME,SELFEMPL,TRADACCT,INCPER,EXP_INC,EXPRATIO,CPTOPNB,CPTOPNG,CPT30C,CPTF30,CPTAVRV,CBURDEN,BUYPOWER,PCTCOLL,MEDAGE,MEDINC,PCTOWN,PCTBLACK,PCTSPAN,GROWTH,PCTEMPL,APPAREL,AUTO,BUILDMTL,DEPTSTOR,DRUGSTOR,EATDRINK,FURN,GAS 
1,0,0,0,0,1,22.6666660,38,2,1,0,0,1,1,79,0,0,0,1,0,0,0,0,1,0,42,0,28332,0,3,14166,.0233715,.7288772,2,0,0,0,16,105,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,4200,0,0,1,33.2500000,34,2,1,0,0,13,3,110,0,0,0,1,0,0,0,0,0,0,24,0,20000,0,15,6050,.0052169,.3289474,18,6,0,0,7,42.4000015,.0016000,5.5999999,22.7000008,14870,3.3000000,20.5000000,9.6999998,.4000000,.3000000,0,0,0,0,0,16.7000008,0,0 
1,0,0,0,0,1,23.7500000,34,0,0,1,0,7,0,38,0,0,0,0,0,0,1,0,0,0,36,0,18886,0,7,18886,.0034978,10.0100002,0,0,0,0,1,75.3000031,.0020000,0,23.6000004,18453,0,15.5000000,3.5000000,16.3999996,6.1999998,1.3000000,0,0,0,0,1.3000000,2.5000000,0 
1,0,0,0,0,1,34.9166679,72,0,1,0,0,8,1,12,0,0,0,0,0,1,0,1,0,1,96,0,28000,0,9,14000,.0588668,16.7233334,8,5,0,0,1,7.6999998,.0103000,0,29.1000004,42492,0,1.4000000,2.0999999,95.5999985,14.1000004,.5000000,1,.7000000,0,.7000000,6.5999999,1.2000000,1.5000000 
1,0,0,0,0,1,29.1666660,61,0,1,0,0,14,2,88,0,0,0,0,0,0,1,0,0,1,24,0,61297,0,18,20432.3339844,.0276514,281.4916687,18,7,0,0,5,32.0999985,.0103000,0,29.1000004,42492,0,1.4000000,2.0999999,95.5999985,14.1000004,.5000000,1,.7000000,0,.7000000,6.5999999,1.2000000,1.5000000 
0,0,0,0,1,0,22.7500000,154,4,1,0,0,3,1,34,1,0,0,0,0,0,0,0,0,1,72,0,22380,0,1,11190,.0005362,1,3,0,0,0,12,100,.0103000,0,29.1000004,42492,0,1.4000000,2.0999999,95.5999985,14.1000004,.5000000,1,.7000000,0,.7000000,6.5999999,1.2000000,1.5000000 
1,1,0,0,1,0,26.4166660,8,2,1,0,0,4,1,48,0,0,0,1,0,0,0,0,0,0,42,0,29000,0,4,14500,.0417586,.0679012,5,0,0,0,5,89.0999985,.0103000,0,29.1000004,42492,0,1.4000000,2.0999999,95.5999985,14.1000004,.5000000,1,.7000000,0,.7000000,6.5999999,1.2000000,1.5000000 
1,0,0,0,0,1,33.6666679,58,2,1,0,0,5,4,26,0,0,0,0,0,1,0,0,1,1,18,0,45000,0,5,9000,.0041556,.8155340,5,1,0,0,1,9.1999998,.0103000,0,29.1000004,42492,0,1.4000000,2.0999999,95.5999985,14.1000004,.5000000,1,.7000000,0,.7000000,6.5999999,1.2000000,1.5000000 
1,0,0,0,0,1,30.5000000,25,2,1,0,0,7,0,126,0,0,0,1,0,0,0,0,1,0,30,0,25400,0,9,25400,.0652138,.8549049,19,5,0,0,3,31.3999996,.0129000,6.3000002,29.7000008,32825,63.2000008,3.3000000,0,5046.6000977,7.6999998,8.5000000,1.8000000,0,0,0,6.6999998,1.8000000,1.8000000 
1,0,8400,0,0,1,36.0833321,12,0,1,0,0,7,3,60,0,0,0,0,0,0,1,0,0,1,48,0,40000,0,7,12100,.0587909,9.1262636,7,5,0,0,12,70.3000031,.0129000,6.3000002,29.7000008,32825,63.2000008,3.3000000,0,5046.6000977,7.6999998,8.5000000,1.8000000,0,0,0,6.6999998,1.8000000,1.8000000 
1,0,0,0,0,1,37.7500000,54,0,1,0,0,3,4,41,1,0,0,0,0,0,0,0,0,1,24,0,44000,0,4,8800,.0355259,1.0300519,5,3,0,0,2,15.1999998,.0129000,6.3000002,29.7000008,32825,63.2000008,3.3000000,0,5046.6000977,7.6999998,8.5000000,1.8000000,0,0,0,6.6999998,1.8000000,1.8000000 
0,0,0,0,0,1,24.3333340,6,2,1,0,0,1,2,12,0,0,1,0,0,0,0,0,0,1,120,0,19000,0,3,6333.3334961,.0006316,1,2,0,0,0,13,90.3000031,.0002000,0,0,0,0,0,0,0,0,2,.7000000,1.4000000,0,1.4000000,6.8000002,2.7000000,0 
1,1,4800,0,1,0,54.0833321,102,7,1,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,84,0,50000,0,1,54800,.0026642,3.7096775,0,0,0,0,5,47.7000008,.0026000,0,28.8999996,41788,0,0,0,19,.8000000,0,0,0,0,0,22.2000008,0,0 
1,0,40000,0,0,1,42.4166679,128,2,1,0,0,5,0,1,0,0,0,0,1,0,0,0,1,1,36,0,14000,0,7,54000,.0079815,.8497854,8,4,0,0,2,10.6999998,.0026000,0,28.8999996,41788,0,0,0,19,.8000000,0,0,0,0,0,22.2000008,0,0 
1,0,1200,0,0,1,35.3333321,110,0,1,0,0,6,3,180,0,0,0,0,0,0,1,0,0,1,312,0,48000,0,9,12300,.0154268,.6217949,5,5,0,0,1,3.5000000,.0024000,0,29.1000004,42467,0,0,0,8.3999996,12.3000002,0,1.3000000,.6000000,0,.6000000,1.3000000,.6000000,.6000000 
1,0,0,0,0,1,32.1666679,64,0,1,0,0,5,2,96,0,0,0,0,0,0,1,0,0,1,36,0,97867,0,6,32622.3339844,.0670506,2.2182639,2,2,0,0,6,33.2999992,.0024000,0,29.1000004,42467,0,0,0,8.3999996,12.3000002,0,1.3000000,.6000000,0,.6000000,1.3000000,.6000000,.6000000 
1,0,10300,0,0,1,40.3333321,95,0,0,1,0,13,4,169,0,0,0,0,0,0,1,0,0,1,24,0,52000,0,18,12460,.0571438,.9921992,19,9,0,0,11,53.7999992,.0024000,0,29.1000004,42467,0,0,0,8.3999996,12.3000002,0,1.3000000,.6000000,0,.6000000,1.3000000,.6000000,.6000000 
1,0,0,0,1,0,44.3333321,60,1,1,0,0,6,0,9,0,0,0,0,1,0,0,0,0,1,12,0,15900,0,9,15900,.1919522,1.6866549,10,5,0,0,4,19.8999996,.0024000,0,29.1000004,42467,0,0,0,8.3999996,12.3000002,0,1.3000000,.6000000,0,.6000000,1.3000000,.6000000,.6000000 
1,0,6000,0,0,1,21.6666660,122,0,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,1,120,0,14400,0,1,20400,.1710745,.5957568,1,1,0,0,13,84.3000031,.0035000,0,28.8999996,41796,0,0,0,43.0999985,.9000000,0,0,0,0,0,0,0,0 
1,0,0,0,0,1,31.6666660,12,2,0,1,0,1,0,12,0,0,0,0,0,0,1,0,0,0,36,0,38470,0,1,38470,.0717193,2.0419405,1,0,0,0,0,0,.0035000,0,28.8999996,41796,0,0,0,43.0999985,.9000000,0,0,0,0,0,0,0,0 
1,0,0,0,0,1,32.6666679,26,2,1,0,0,10,2,55,0,0,0,0,0,0,1,0,1,0,30,0,34800,0,10,11600,.5039468,2.0515659,14,2,0,0,11,69.5999985,.0035000,0,28.8999996,41796,0,0,0,43.0999985,.9000000,0,0,0,0,0,0,0,0 
1,0,39805,0,1,0,57.4166679,60,0,1,0,0,4,0,60,0,0,0,0,0,0,1,0,0,1,240,0,26000,0,3,65805,.0376952,.6055211,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9000001,0,0 
1,0,0,0,0,1,44.3333321,36,0,1,0,0,6,0,72,0,0,0,0,0,0,1,0,0,0,66,1,24000,0,9,24000,.0179729,14.4053564,9,6,0,0,9,71.9000015,.0044000,7,28.8999996,36935,70.8000031,.3000000,.9000000,75.3000031,26.5000000,2.7000000,1.2000000,1.5000000,.3000000,1.5000000,5.9000001,.6000000,2.0999999 
1,0,1500,0,0,1,41.1666679,14,0,1,0,0,7,2,14,0,0,0,0,0,0,1,0,0,0,36,0,32000,0,8,11166.6669922,.0105534,57.9233360,6,2,0,0,2,39.7000008,.0060000,9.8000002,27.7999992,37037,52.2000008,.8000000,2.5000000,42.5999985,25.7000008,.9000000,1.5000000,1.2000000,0,1.2000000,6.5999999,1.8000000,1.2000000 
1,0,0,0,0,1,30.8333340,102,0,1,0,0,2,2,99,0,0,0,0,0,0,1,0,1,1,96,0,18600,0,1,6200,.0600538,.5322359,4,3,0,0,12,91.4000015,.0060000,9.8000002,27.7999992,37037,52.2000008,.8000000,2.5000000,42.5999985,25.7000008,.9000000,1.5000000,1.2000000,0,1.2000000,6.5999999,1.8000000,1.2000000 
1,0,0,0,1,0,55.6666679,60,1,1,0,0,9,2,60,0,0,0,0,0,0,1,0,0,1,24,0,43200,0,9,14400,.0326178,.8419477,6,0,0,0,4,46.5000000,.0058000,9.8000002,29,25649,75.3000031,.5000000,.9000000,135.1999969,11,.8000000,1.6000000,1.9000000,0,1.9000000,7.8000002,.8000000,3.9000001 
1,0,0,0,0,1,34.9166679,18,1,1,0,0,11,4,18,0,0,0,0,0,0,1,0,1,1,72,0,70900,0,11,14180,.0068519,7.6749997,8,4,1,0,3,33.4000015,.0016000,8.6000004,28.7000008,46306,63.5999985,.4000000,1.2000000,3.4000001,31.6000004,2.8000000,.9000000,1.9000000,0,1.9000000,9.3000002,0,3.7000000 
1,0,16000,0,0,1,47.8333321,73,0,1,0,0,2,1,50,0,0,1,0,0,0,0,0,0,1,48,0,54600,0,3,35300,.0260610,51.5688553,2,2,0,0,2,19.7000008,.0058000,9,29.3999996,23851,81.4000015,.5000000,1.5000000,111.6999969,18.3999996,3,1.3000000,1,0,1,7.5000000,2.3000000,1.5000000 
1,0,40320,0,0,1,30.3333340,18,0,1,0,0,3,1,18,0,0,0,0,1,0,0,2,0,0,24,0,25400,0,3,32860,.0242036,.8367899,1,1,0,0,15,87.9000015,.0004000,0,28.8999996,36936,0,0,0,7.5999999,38,0,0,0,0,0,0,0,0 
1,0,6500,0,0,1,37.2500000,12,0,1,0,0,0,2,24,0,0,1,0,0,0,0,0,0,1,36,1,27500,0,0,11333.3330078,.0261003,2.8921492,15,9,0,0,4,38.9000015,.0157000,14,29.2000008,37830,58.2000008,5,3,5.5999999,61.2999992,1.8000000,2.5999999,1,.4000000,1,7.6999998,2.8000000,1.7000000 
1,0,6000,0,0,1,36.8333321,132,0,1,0,0,0,1,144,0,0,0,0,0,0,1,0,0,1,132,0,65000,1,0,35500,.0084331,.0578622,30,11,0,0,4,16.3999996,.0157000,14,29.2000008,37830,58.2000008,5,3,5.5999999,61.2999992,1.8000000,2.5999999,1,.4000000,1,7.6999998,2.8000000,1.7000000 
1,0,0,0,0,1,24.4166660,30,0,1,0,0,11,2,54,0,0,0,1,0,0,0,0,1,0,12,0,18000,0,11,6000,.0278128,.6414099,7,1,0,0,1,8.1999998,.0016000,4.6999998,23.7000008,16499,9.6999998,12.6000004,5.5000000,26.2999992,1,0,0,0,0,0,0,0,0 
1,1,0,0,0,1,29.3333340,31,1,1,0,0,3,1,55,0,0,0,1,0,0,0,0,0,0,24,0,25120,0,4,12560,.0483758,.0272189,6,1,0,0,2,27.8999996,.0018000,5.5000000,22.3999996,17021,.8000000,20.6000004,6.0999999,38.5000000,22.6000004,0,0,0,0,0,0,0,0 
1,0,6240,1,0,0,26.5833340,6,0,0,1,0,0,2,90,0,0,0,1,0,0,0,0,0,0,12,0,12980,0,0,6406.6665039,.0154735,1.3983871,1,0,0,0,1,100,.0018000,5.5000000,22.3999996,17021,.8000000,20.6000004,6.0999999,38.5000000,22.6000004,0,0,0,0,0,0,0,0 
1,0,0,0,0,1,20.1666660,109,0,1,0,0,3,1,26,0,0,0,0,0,0,1,0,0,1,12,0,19200,0,3,9600,.1007250,.3963321,2,0,0,0,11,104.3000031,.0030000,12.1000004,29.2000008,33474,72.1999969,5.9000001,3.2000000,441.2999878,9.6999998,.7000000,2,.7000000,0,.7000000,6.0999999,1.4000000,2 
1,0,1000,0,1,0,23.2500000,54,0,1,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,228,0,24000,0,1,25000,.0444384,1.0017297,1,1,0,0,1,28,.0007000,15.3999996,30.3999996,48416,63,0,0,85.5000000,53.2999992,1.5000000,1.5000000,1.5000000,0,1.5000000,7.5000000,0,1.5000000 
0,0,6600,0,0,1,40.5833321,18,1,0,1,0,4,2,12,0,0,0,0,0,0,1,0,0,0,12,0,15600,0,2,7400,.0005405,1,2,0,0,0,2,100,.0065000,14,29.2000008,37824,58.2000008,0,0,57.5999985,.6000000,0,0,12.5000000,0,12.5000000,12.5000000,0,0 
1,0,0,0,0,1,28.8333340,61,1,1,0,0,7,0,104,0,0,0,0,0,0,1,0,0,1,36,0,20000,0,7,20000,.0033000,10,6,5,0,0,3,51.2000008,.0065000,14,29.2000008,37824,58.2000008,0,0,57.5999985,.6000000,0,0,12.5000000,0,12.5000000,12.5000000,0,0 
1,0,0,0,0,1,35.3333321,42,0,1,0,0,7,4,204,0,0,0,1,0,0,0,0,1,1,24,0,40000,0,8,8000,.0429730,1.2827623,9,3,0,0,6,45.2999992,.0065000,14,29.2000008,37824,58.2000008,0,0,57.5999985,.6000000,0,0,12.5000000,0,12.5000000,12.5000000,0,0 
1,0,10800,0,0,1,27.9166660,7,0,1,0,0,5,2,49,0,0,1,0,0,0,0,0,0,0,24,1,28800,0,5,13200,.0125758,.3139842,4,2,0,0,2,15.6000004,.0065000,14,29.2000008,37824,58.2000008,0,0,57.5999985,.6000000,0,0,12.5000000,0,12.5000000,12.5000000,0,0 
1,0,12765,0,0,1,41.5833321,48,0,0,1,0,3,3,16,0,0,0,0,1,0,0,1,0,1,36,0,40060,0,6,13206.2500000,.0414084,2.1886299,9,1,0,0,6,50.0999985,.0019000,0,29.2000008,37884,0,5.0999999,2.4000001,14,0,0,0,0,0,0,0,0,0 
0,0,3000,0,1,0,68,96,0,0,0,1,18,1,36,0,0,0,0,0,0,1,9,3,1,24,0,24300,0,12,13650,.0004396,1,19,9,0,5,5,47.4000015,.0098000,19,30.1000004,39346,64.5000000,.8000000,2.3000000,25.7000008,32.0999985,3.5999999,1.6000000,.6000000,.1000000,.6000000,7.8000002,1.3000000,1.3000000 
1,0,1000,0,0,1,28.2500000,17,0,1,0,0,1,0,38,0,0,0,0,0,0,1,0,0,0,84,0,38000,0,1,39000,.0388344,1.6385714,0,0,0,0,4,86.5000000,.0021000,19.1000004,28.7999992,44021,57.7000008,.5000000,.4000000,114.6999969,16.2999992,1,3.0999999,1,0,1,9.3000002,4.0999999,0 
1,0,8400,0,0,1,27.3333340,72,0,1,0,0,8,0,12,0,0,0,0,0,0,1,0,0,0,24,0,36000,1,11,44400,.0453878,.3231911,1,0,0,0,6,49,.0015000,14.1999998,29.5000000,29660,66.8000031,.2000000,1.9000000,9.1000004,26.7000008,3.0999999,.8000000,1.6000000,0,1.6000000,7.8000002,1.6000000,1.6000000 
1,0,75000,0,1,0,56.9166679,102,0,1,0,0,13,0,54,0,0,1,0,0,0,0,0,0,1,120,0,15000,0,12,90000,.0219262,.3525428,1,0,0,0,21,80.8000031,.0015000,14.1999998,29.5000000,29660,66.8000031,.2000000,1.9000000,9.1000004,26.7000008,3.0999999,.8000000,1.6000000,0,1.6000000,7.8000002,1.6000000,1.6000000 
1,0,0,0,0,1,34.8333321,40,0,1,0,0,4,0,29,0,0,0,0,0,0,1,1,0,0,12,0,30000,0,3,30000,.0237303,10.6706553,2,1,0,0,6,29.2999992,.0058000,9.6999998,30.5000000,35143,52.7000008,.4000000,2,8.1000004,42.7000008,2.4000001,1.3000000,1.3000000,0,1.3000000,9,2.2000000,.9000000 
0,0,4000,0,0,1,22.3333340,15,2,0,1,0,2,1,15,0,0,0,0,0,0,1,1,0,0,240,0,28800,0,1,16400,.0003659,1,1,0,0,0,10,98.5999985,.0006000,2.5999999,25.2000008,31058,70.6999969,.4000000,0,42.2999992,14.5000000,11.1000004,0,0,0,0,0,0,0 
1,0,10000,0,1,0,30.5000000,3,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,48,0,81000,0,0,91000,.0767034,.7358891,9,5,0,0,7,42.2999992,.0072000,5.6999998,34.9000015,17937,68.5999985,22.7999992,.2000000,14.8999996,44.7000008,3.8000000,4.3000002,1.8000000,.2000000,1.8000000,4.5000000,3.5999999,2 
1,0,1500,0,0,1,24.5000000,6,0,1,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,276,0,25000,0,0,26500,.0764762,.4192017,11,0,0,0,6,82.6999969,.0090000,0,33,18282,0,9.6000004,0,4.6999998,4.1999998,1.4000000,0,.9000000,0,.9000000,4.1999998,2.3000000,1.9000000 
1,0,18000,0,0,1,25.9166660,36,1,1,0,0,5,0,36,0,0,1,0,0,0,0,0,0,1,144,0,24000,0,6,42000,.0929871,.5108162,1,0,0,0,5,67.0999985,.0005000,2.8000000,30.7999992,14972,83.3000031,0,.2000000,-.8000000,4.1999998,0,2.5999999,0,0,0,2.5999999,2.5999999,0 
1,0,24000,0,0,1,32.2500000,17,0,1,0,0,27,0,51,1,0,0,0,0,0,0,0,0,1,36,0,25000,0,27,49000,.0529747,.3004810,16,8,0,1,1,.2000000,.0044000,5.5999999,35.5999985,24200,85.0999985,1,.5000000,18.7999992,19.5000000,3.9000001,3.5000000,2.7000000,.4000000,2.7000000,7.4000001,2.3000000,3.9000001 
1,0,0,0,0,1,32.9166679,12,0,1,0,0,0,3,13,0,0,0,0,0,0,1,0,0,1,18,0,28650,0,0,7162.5000000,.0993843,2.2728276,10,1,0,0,5,56.5999985,.0027000,3,33.0999985,15513,80.8000031,4.5000000,.6000000,24.7999992,11.8999996,1.5000000,2.2000000,3,0,3,6,.7000000,5.1999998 
1,0,0,0,0,1,38.6666679,129,2,1,0,0,14,0,60,0,0,0,0,1,0,0,0,0,1,102,0,16182,0,16,16182,.1465962,75.5232239,10,4,0,0,4,44.9000015,.0011000,1.1000000,32.7000008,13806,84.0999985,2.9000001,.1000000,29.2000008,3.5999999,0,0,0,0,0,7.4000001,3.7000000,3.7000000 
1,0,0,0,1,0,46.3333321,6,0,1,0,0,0,0,96,0,0,0,0,0,0,1,0,0,1,48,0,37000,0,0,37000,.0369286,.6683272,11,2,0,0,18,93.3000031,.0006000,6.0999999,28.8999996,21993,81,0,0,25.7000008,9.8999996,0,8.3000002,0,0,0,8.3000002,0,0 
1,0,0,0,0,1,38.4166679,60,1,1,0,0,12,1,48,0,0,0,0,0,0,1,0,1,1,36,0,55000,0,22,27500,.0278260,.5925390,22,12,0,0,5,43.2000008,.0044000,14.8999996,30.1000004,30272,86.5999985,2.2000000,.9000000,43.2999992,45.0999985,2.2000000,4.6999998,4.1999998,.3000000,4.1999998,4.4000001,3.0999999,1.1000000 
1,0,0,0,0,1,41.6666679,120,2,0,1,0,15,3,1,0,0,1,0,0,0,0,0,0,1,24,0,39500,0,17,9875,.0235582,2.7073708,3,2,0,0,0,0,.0044000,5.4000001,30.7999992,23071,88.5000000,7.0999999,.5000000,25.2000008,8.8999996,.6000000,1.2000000,1.8000000,0,1.8000000,4.9000001,2.4000001,1.2000000 
1,0,5000,0,0,1,24.5833340,96,0,1,0,0,3,0,48,0,0,0,0,0,0,1,0,0,0,96,0,20000,1,5,25000,.0058000,1.6851852,18,7,0,0,1,6.0999999,.0044000,5.4000001,30.7999992,23071,88.5000000,7.0999999,.5000000,25.2000008,8.8999996,.6000000,1.2000000,1.8000000,0,1.8000000,4.9000001,2.4000001,1.2000000 
1,0,0,0,0,1,26.8333340,4,2,1,0,0,10,1,15,0,0,0,0,0,0,1,0,0,1,120,0,42000,0,16,21000,.1487871,2.4736297,6,2,0,0,12,93.0999985,.0044000,5.4000001,30.7999992,23071,88.5000000,7.0999999,.5000000,25.2000008,8.8999996,.6000000,1.2000000,1.8000000,0,1.8000000,4.9000001,2.4000001,1.2000000 
1,0,0,0,1,0,30.7500000,36,1,0,1,0,8,2,120,0,0,0,0,0,0,1,0,0,1,48,0,38000,0,8,12666.6669922,.0252295,1.0529336,3,0,0,0,2,73.5999985,.0044000,5.4000001,30.7999992,23071,88.5000000,7.0999999,.5000000,25.2000008,8.8999996,.6000000,1.2000000,1.8000000,0,1.8000000,4.9000001,2.4000001,1.2000000 
1,0,3000,0,0,1,36.7500000,14,0,1,0,0,0,1,146,0,0,0,0,1,0,0,0,0,0,36,0,22000,0,0,12500,.0753976,1.6436745,9,3,0,0,11,83.5999985,.0027000,5.5999999,34.0999985,28494,92.5999985,0,.2000000,17.8999996,8.8999996,1.3000000,2.7000000,2.7000000,0,2.7000000,2.7000000,0,2.7000000 
1,1,0,0,0,1,27,8,0,1,0,0,0,0,97,0,0,0,0,1,0,0,0,0,0,24,0,18400,0,0,18400,.0558087,.0521311,2,0,0,0,3,133,.0004000,4.8000002,35.5000000,16306,79,.3000000,.7000000,-2.9000001,5.4000001,0,0,5.5999999,0,5.5999999,0,0,0 
1,0,28000,0,0,1,27.6666660,16,0,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,156,1,19800,0,0,23900,.0953847,1.5964637,5,1,0,0,5,50.5999985,.0092000,4.3000002,33.5000000,20225,71.3000031,20.7999992,.8000000,-5.9000001,29.7999992,5.0999999,5.0999999,1.9000000,.4000000,1.9000000,4.9000001,2.7000000,3.0999999 
0,0,2500,0,1,0,30.2500000,48,1,1,0,0,15,0,18,0,0,0,0,0,1,0,9,0,1,288,0,18900,0,5,21400,.0005607,1,1,0,0,2,9,145.5000000,.0104000,5.3000002,30,17692,67.4000015,33.4000015,.5000000,20.2000008,21.2000008,4.9000001,4,2.2000000,.4000000,2.2000000,6.6999998,2.7000000,2 
0,0,9000,0,1,0,33.7500000,18,0,1,0,0,0,0,192,0,0,0,0,0,0,1,0,0,1,84,0,22000,1,0,31000,.0003871,1,8,2,1,1,1,26.2000008,.0040000,6.1999998,32,22317,83,6.5000000,.7000000,27.5000000,24.3999996,.9000000,.9000000,3.2000000,0,3.2000000,4.5999999,.5000000,2.8000000 
1,1,0,0,0,1,28.4166660,19,0,1,0,0,0,2,12,0,0,0,0,0,0,1,0,0,1,6,0,23400,0,0,7800,.0234594,.3227711,7,0,0,0,2,17.2999992,.0005000,5.5999999,34.5999985,14897,77.1999969,30.2000008,1.5000000,3.2000000,23.2999992,0,0,0,0,0,5,0,0 
1,0,7200,0,0,1,29.1666660,77,3,1,0,0,3,0,59,0,0,0,0,1,0,0,0,0,1,120,0,16500,0,4,23700,.0764338,1.5585876,3,0,0,0,6,83.9000015,.0091000,7,39.7999992,17755,74.8000031,25.8999996,.5000000,-6.6999998,21.7999992,2.5000000,4,1.1000000,.4000000,1.1000000,6.9000001,3.3000000,2.3000000 
